trial_id,decision_date,feature_end,date,regime,return,turnover,missing_held_returns,ex_post_stress,research_disclaimer
k2_vol_corr_erc,2005-10-31,2005-10-31,2005-11-30,calm,0.04676634191326153,0.017690272286062295,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-10-31,2005-10-31,2005-11-30,calm,0.04754534377812404,0.004476469065595158,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-10-31,2005-10-31,2005-11-30,calm,0.04676634191326153,0.017690272286062295,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-10-31,2005-10-31,2005-11-30,calm,0.04754534377812404,0.004476469065595158,0,False,Research only; not investment advice.
unconditional_erc,2005-10-31,2005-10-31,2005-11-30,all,0.022101060688582568,0.018452566370131835,0,False,Research only; not investment advice.
unconditional_ew,2005-10-31,2005-10-31,2005-11-30,all,0.04142674624483614,0.0052260696799550505,0,False,Research only; not investment advice.
always_calm,2005-10-31,2005-10-31,2005-11-30,calm,0.04676634191326153,0.017690272286062295,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-11-30,2005-11-30,2005-12-31,calm,0.014250035848206444,0.012446682607466696,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-11-30,2005-11-30,2005-12-31,calm,0.010288914856012363,0.004733932097198107,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-11-30,2005-11-30,2005-12-31,calm,0.014250035848206444,0.012446682607466696,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-11-30,2005-11-30,2005-12-31,calm,0.010288914856012363,0.004733932097198107,0,False,Research only; not investment advice.
unconditional_erc,2005-11-30,2005-11-30,2005-12-31,all,0.01359676840846756,0.010061829145421449,0,False,Research only; not investment advice.
unconditional_ew,2005-11-30,2005-11-30,2005-12-31,all,0.01074742353717005,0.007207246288011525,0,False,Research only; not investment advice.
always_calm,2005-11-30,2005-11-30,2005-12-31,calm,0.014250035848206444,0.012446682607466696,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-12-31,2005-12-31,2006-01-31,calm,0.06245107040130798,0.01808500049004025,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-12-31,2005-12-31,2006-01-31,calm,0.0622331629187325,0.00923243252790936,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-12-31,2005-12-31,2006-01-31,calm,0.06245107040130798,0.01808500049004025,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-12-31,2005-12-31,2006-01-31,calm,0.0622331629187325,0.00923243252790936,0,False,Research only; not investment advice.
unconditional_erc,2005-12-31,2005-12-31,2006-01-31,all,0.020308844494557637,0.2331375311046509,0,False,Research only; not investment advice.
unconditional_ew,2005-12-31,2005-12-31,2006-01-31,all,0.04935128634980013,0.06666666666666662,0,False,Research only; not investment advice.
always_calm,2005-12-31,2005-12-31,2006-01-31,calm,0.06245107040130798,0.01808500049004025,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-01-31,2006-01-31,2006-02-28,calm,-0.005104503031578279,0.02853972552935936,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-01-31,2006-01-31,2006-02-28,calm,-0.005046644663506057,0.01086283901080684,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-01-31,2006-01-31,2006-02-28,calm,-0.005104503031578279,0.02853972552935936,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-01-31,2006-01-31,2006-02-28,calm,-0.005046644663506057,0.01086283901080684,0,False,Research only; not investment advice.
unconditional_erc,2006-01-31,2006-01-31,2006-02-28,all,-0.0007339209161096795,0.02244670178589838,0,False,Research only; not investment advice.
unconditional_ew,2006-01-31,2006-01-31,2006-02-28,all,-0.003699415789068727,0.013201913091836166,0,False,Research only; not investment advice.
always_calm,2006-01-31,2006-01-31,2006-02-28,calm,-0.005104503031578279,0.02853972552935936,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-02-28,2006-02-28,2006-03-31,calm,0.028964269471337224,0.004681842747259097,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-02-28,2006-02-28,2006-03-31,calm,0.0305829534127705,0.00468625261517467,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-02-28,2006-02-28,2006-03-31,calm,0.028964269471337224,0.004681842747259097,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-02-28,2006-02-28,2006-03-31,calm,0.0305829534127705,0.00468625261517467,0,False,Research only; not investment advice.
unconditional_erc,2006-02-28,2006-02-28,2006-03-31,all,-0.0008671302207790524,0.0058346865081382576,0,False,Research only; not investment advice.
unconditional_ew,2006-02-28,2006-02-28,2006-03-31,all,0.021183383338386926,0.004062334500648933,0,False,Research only; not investment advice.
always_calm,2006-02-28,2006-02-28,2006-03-31,calm,0.028964269471337224,0.004681842747259097,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-03-31,2006-03-31,2006-04-30,calm,0.018669500377032848,0.005844917970601403,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-03-31,2006-03-31,2006-04-30,calm,0.01641148516256158,0.004982758556453505,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-03-31,2006-03-31,2006-04-30,calm,0.018669500377032848,0.005844917970601403,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-03-31,2006-03-31,2006-04-30,calm,0.01641148516256158,0.004982758556453505,0,False,Research only; not investment advice.
unconditional_erc,2006-03-31,2006-03-31,2006-04-30,all,0.003424771591796047,0.005989186461570067,0,False,Research only; not investment advice.
unconditional_ew,2006-03-31,2006-03-31,2006-04-30,all,0.01217157003665239,0.007897197875989664,0,False,Research only; not investment advice.
always_calm,2006-03-31,2006-03-31,2006-04-30,calm,0.018669500377032848,0.005844917970601403,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-04-30,2006-04-30,2006-05-31,calm,-0.046118093590419296,0.016848306358302395,0,True,Research only; not investment advice.
k2_vol_corr_ew,2006-04-30,2006-04-30,2006-05-31,calm,-0.048235613173478006,0.007449721815272654,0,True,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-04-30,2006-04-30,2006-05-31,calm,-0.046118093590419296,0.016848306358302395,0,True,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-04-30,2006-04-30,2006-05-31,calm,-0.048235613173478006,0.007449721815272654,0,True,Research only; not investment advice.
unconditional_erc,2006-04-30,2006-04-30,2006-05-31,all,-0.016750843978941846,0.018011325446135536,0,True,Research only; not investment advice.
unconditional_ew,2006-04-30,2006-04-30,2006-05-31,all,-0.03855219165878629,0.007379443139192025,0,True,Research only; not investment advice.
always_calm,2006-04-30,2006-04-30,2006-05-31,calm,-0.046118093590419296,0.016848306358302395,0,True,Research only; not investment advice.
k2_vol_corr_erc,2006-05-31,2006-05-31,2006-06-30,calm,0.0004878798552428188,0.012877673855368709,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-05-31,2006-05-31,2006-06-30,calm,0.00016246203148027495,0.008915784258094438,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-05-31,2006-05-31,2006-06-30,calm,0.0004878798552428188,0.012877673855368709,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-05-31,2006-05-31,2006-06-30,calm,0.00016246203148027495,0.008915784258094438,0,False,Research only; not investment advice.
unconditional_erc,2006-05-31,2006-05-31,2006-06-30,all,0.00174256093025577,0.014686989976747767,0,False,Research only; not investment advice.
unconditional_ew,2006-05-31,2006-05-31,2006-06-30,all,0.0006732229617435579,0.010839165639408885,0,False,Research only; not investment advice.
always_calm,2006-05-31,2006-05-31,2006-06-30,calm,0.0004878798552428188,0.012877673855368709,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-06-30,2006-06-30,2006-07-31,calm,-0.009534941569710452,0.0009549212285225768,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-06-30,2006-06-30,2006-07-31,calm,-0.013038357329918019,0.0012628055375120129,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-06-30,2006-06-30,2006-07-31,calm,-0.009534941569710452,0.0009549212285225768,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-06-30,2006-06-30,2006-07-31,calm,-0.013038357329918019,0.0012628055375120129,0,False,Research only; not investment advice.
unconditional_erc,2006-06-30,2006-06-30,2006-07-31,all,0.005736380512737423,0.0017653839689930739,0,False,Research only; not investment advice.
unconditional_ew,2006-06-30,2006-06-30,2006-07-31,all,-0.007496193816114239,0.0014339722460068108,0,False,Research only; not investment advice.
always_calm,2006-06-30,2006-06-30,2006-07-31,calm,-0.009534941569710452,0.0009549212285225768,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-07-31,2006-07-31,2006-08-31,calm,0.02271793940990583,0.008210357726554339,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-07-31,2006-07-31,2006-08-31,calm,0.023116973302177837,0.010479739976428114,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-07-31,2006-07-31,2006-08-31,calm,0.02271793940990583,0.008210357726554339,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-07-31,2006-07-31,2006-08-31,calm,0.023116973302177837,0.010479739976428114,0,False,Research only; not investment advice.
unconditional_erc,2006-07-31,2006-07-31,2006-08-31,all,0.019022897409025692,0.008238466412650134,0,False,Research only; not investment advice.
unconditional_ew,2006-07-31,2006-07-31,2006-08-31,all,0.021900884395508538,0.010942853831846011,0,False,Research only; not investment advice.
always_calm,2006-07-31,2006-07-31,2006-08-31,calm,0.02271793940990583,0.008210357726554339,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-08-31,2006-08-31,2006-09-30,calm,0.013964384729596751,0.0036531708954057225,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-08-31,2006-08-31,2006-09-30,calm,0.013359029816234914,0.0029475736265422506,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-08-31,2006-08-31,2006-09-30,calm,0.013964384729596751,0.0036531708954057225,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-08-31,2006-08-31,2006-09-30,calm,0.013359029816234914,0.0029475736265422506,0,False,Research only; not investment advice.
unconditional_erc,2006-08-31,2006-08-31,2006-09-30,all,0.01001271945259288,0.010927632548356556,0,False,Research only; not investment advice.
unconditional_ew,2006-08-31,2006-08-31,2006-09-30,all,0.012227055638983759,0.0028265023262106087,0,False,Research only; not investment advice.
always_calm,2006-08-31,2006-08-31,2006-09-30,calm,0.013964384729596751,0.0036531708954057225,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-09-30,2006-09-30,2006-10-31,calm,0.04279016114138818,0.004420708100898486,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-09-30,2006-09-30,2006-10-31,calm,0.044858472837384325,0.004866673575247185,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-09-30,2006-09-30,2006-10-31,calm,0.04279016114138818,0.004420708100898486,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-09-30,2006-09-30,2006-10-31,calm,0.044858472837384325,0.004866673575247185,0,False,Research only; not investment advice.
unconditional_erc,2006-09-30,2006-09-30,2006-10-31,all,0.018840261366715013,0.007009964961132894,0,False,Research only; not investment advice.
unconditional_ew,2006-09-30,2006-09-30,2006-10-31,all,0.036695442483340064,0.004199879411900545,0,False,Research only; not investment advice.
always_calm,2006-09-30,2006-09-30,2006-10-31,calm,0.04279016114138818,0.004420708100898486,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-10-31,2006-10-31,2006-11-30,calm,0.02964737436865924,0.01120387730130501,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-10-31,2006-10-31,2006-11-30,calm,0.030890332244863844,0.004515442055372236,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-10-31,2006-10-31,2006-11-30,calm,0.02964737436865924,0.01120387730130501,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-10-31,2006-10-31,2006-11-30,calm,0.030890332244863844,0.004515442055372236,0,False,Research only; not investment advice.
unconditional_erc,2006-10-31,2006-10-31,2006-11-30,all,0.018599860228193196,0.012719831014011284,0,False,Research only; not investment advice.
unconditional_ew,2006-10-31,2006-10-31,2006-11-30,all,0.027046920087648554,0.006956006946399203,0,False,Research only; not investment advice.
always_calm,2006-10-31,2006-10-31,2006-11-30,calm,0.02964737436865924,0.01120387730130501,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-11-30,2006-11-30,2006-12-31,calm,0.010784478931406632,0.004359825820550674,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-11-30,2006-11-30,2006-12-31,calm,0.00972608614989038,0.0035357519316858432,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-11-30,2006-11-30,2006-12-31,calm,0.010784478931406632,0.004359825820550674,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-11-30,2006-11-30,2006-12-31,calm,0.00972608614989038,0.0035357519316858432,0,False,Research only; not investment advice.
unconditional_erc,2006-11-30,2006-11-30,2006-12-31,all,-0.005650721307482184,0.07242317516808106,0,False,Research only; not investment advice.
unconditional_ew,2006-11-30,2006-11-30,2006-12-31,all,0.003525389106927361,0.06249999999999995,0,False,Research only; not investment advice.
always_calm,2006-11-30,2006-11-30,2006-12-31,calm,0.010784478931406632,0.004359825820550674,0,False,Research only; not investment advice.
k2_vol_corr_erc,2006-12-31,2006-12-31,2007-01-31,calm,0.018834439352209412,0.010536161747407572,0,False,Research only; not investment advice.
k2_vol_corr_ew,2006-12-31,2006-12-31,2007-01-31,calm,0.019222465820851034,0.00757856490154523,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2006-12-31,2006-12-31,2007-01-31,calm,0.018834439352209412,0.010536161747407572,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2006-12-31,2006-12-31,2007-01-31,calm,0.019222465820851034,0.00757856490154523,0,False,Research only; not investment advice.
unconditional_erc,2006-12-31,2006-12-31,2007-01-31,all,0.00849583582866269,0.013314513812865617,0,False,Research only; not investment advice.
unconditional_ew,2006-12-31,2006-12-31,2007-01-31,all,0.015853053059996184,0.007909033583136982,0,False,Research only; not investment advice.
