date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,corr_elevated,z_elevated,mean_abs_corr,z,z_rule,sigma_hat,sigma_star,lookback,corr_lookback_months,f_min,f_max,g_min,cash_ticker,cash_price_source,thin_history_tickers,include_thin,n_sleeves,n_thin_sleeves,n_panel_names_eligible,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2025-11-28,2025-12-31,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,True,0.5657678499162234,0.14963553483902697,mkt_vol,0.16570690248779077,0.17945798268176077,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-12-31,2026-01-30,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,False,0.46478998135447946,0.08684526355840705,mkt_vol,0.0937552285167224,0.1783080908084673,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-01-30,2026-02-27,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,False,0.4583421064696196,0.1038556454336152,mkt_vol,0.1095805754590463,0.1774520201208757,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-02-27,2026-03-31,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,True,0.4788829045144657,0.1282153332803941,mkt_vol,0.13758199065723387,0.1769901618047205,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-03-31,2026-04-30,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,0.9175632963549217,0.25,0.22939082408873043,True,True,True,0.6215315790242463,0.18341407739677376,mkt_vol,0.1926553739420264,0.17677349997473582,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.7706091759112697,0.00038530458795563486,0.1605735768621113,0.04587816481774609,0.022939082408873046,0.7706091759112695
2026-04-30,2026-05-29,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.6451294941352991,0.11695080351624212,mkt_vol,0.12185498492874922,0.17665799103298735,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.7706091759112697,0.00038530458795563486,0.7,0.2,0.1,0.0
2026-05-29,2026-06-30,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.6632997024295006,0.09795973204172635,mkt_vol,0.11128321798182736,0.17597228076904195,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-06-30,2026-07-31,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,0.8920007782929296,0.25,0.2230001945732324,True,True,True,0.6180851676911865,0.17622885587769294,mkt_vol,0.1975240063898187,0.17619156743125589,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.7769998054267677,0.00038849990271338386,0.15610013620126267,0.04460003891464648,0.02230001945732324,0.7769998054267676
2026-07-31,2026-08-31,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,0.25,0.25,True,True,True,0.6235294451556092,0.12270144976973646,mkt_vol,0.1383463382202154,0.17565810199241308,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.026999805426767606,1.3499902713383803e-05,0.175,0.05,0.025,0.75
2026-08-31,2026-09-16,VCFC_option_a_vt_L21_C12_g0p25_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.618103795922341,0.10257483551123978,mkt_vol,0.11758294978775972,0.17495279845462508,21,12,0.25,1.0,0.25,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.75,0.000375,0.7,0.2,0.1,0.0
2020-11-30,2020-12-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.7170001931644909,0.16763397331212612,mkt_vol,0.1725586351534862,0.19655749503893236,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.35,0.1,0.05,0.5
2020-12-31,2021-01-29,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.721307816734223,0.08244402567879215,mkt_vol,0.08475951398550026,0.16108421258698608,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5,0.00025,0.7,0.2,0.1,0.0
2021-01-29,2021-02-26,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.9912394971728384,0.5,0.4956197485864192,True,True,True,0.735212924265466,0.15874584474348225,mkt_vol,0.15820552496260631,0.15681956501389882,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5043802514135808,0.0002521901257067904,0.34693382401049344,0.09912394971728385,0.04956197485864192,0.5043802514135808
2021-02-26,2021-03-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.9584909069162808,0.5,0.4792454534581404,True,True,True,0.7493034044045418,0.15775799302984064,mkt_vol,0.16666055093674378,0.15974262261452657,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.01637429512827882,8.187147564139408e-06,0.33547181742069826,0.09584909069162809,0.04792454534581404,0.5207545465418596
2021-03-31,2021-04-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,0.9567441668792633,0.5,0.47837208343963167,True,True,True,0.6437110644449691,0.14743512532482062,mkt_vol,0.1720757160141774,0.16463243755813686,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0008733700185087345,4.3668500925436725e-07,0.33486045840774215,0.09567441668792634,0.04783720834396317,0.5216279165603683
2021-04-30,2021-05-28,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.6024959383526656,0.10478514427628777,mkt_vol,0.11357034319925466,0.1572673155173817,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5216279165603683,0.0002608139582801842,0.7,0.2,0.1,0.0
2021-05-28,2021-06-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.5985244119802026,0.1385611053412053,mkt_vol,0.15213475619825517,0.15686903609410532,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5,0.00025,0.35,0.1,0.05,0.5
2021-06-30,2021-07-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.598467510293656,0.08659804576729899,mkt_vol,0.08842131261880498,0.1497772850799746,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5,0.00025,0.7,0.2,0.1,0.0
2021-07-30,2021-08-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,False,0.5656462821047706,0.11310144516854995,mkt_vol,0.11560138619765561,0.14615172090236206,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-08-31,2021-09-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.5901763140248165,0.08357998584311203,mkt_vol,0.09092833945186884,0.1415043667253468,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-09-30,2021-10-29,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,0.5,0.5,True,True,True,0.6156044122210974,0.12701504798005442,mkt_vol,0.1282988187718391,0.1405124631672338,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5,0.00025,0.35,0.1,0.05,0.5
2021-10-29,2021-11-30,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,True,False,0.6086989830414774,0.1070759484962796,mkt_vol,0.11025780532890737,0.13901142160171953,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.5,0.00025,0.7,0.2,0.1,0.0
2021-11-30,2021-12-31,VCFC_option_a_vt_L21_C12_g0p5_mkt_vol,option_a,option_a_vt,1.0,1.0,1.0,False,False,True,0.5013828540392297,0.12589723227483043,mkt_vol,0.13278836398436084,0.13720496738717505,21,12,0.25,1.0,0.5,BIL,prices,QQQM,False,21,0,339,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
