date,decision_date,trial_id,r_method,r_method_gross,cost_return,r_null_a,r_null_b,r_null_c,r_active_vs_a,r_active_vs_b,r_active_vs_c,turnover,f,g,f_tilde,gate_binding
2021-10-29,2021-09-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.01670286116194304,0.017077861161943042,0.000375,0.06863896747251708,0.06863896747251708,0.05335158751244383,-0.051936106310574034,-0.051936106310574034,-0.03664872635050079,0.75,1.0,0.25,0.25,True
2021-11-30,2021-10-29,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.003991834602133967,-0.003616834602133967,0.000375,-0.003616834602133967,-0.003616834602133967,-0.015932730931884572,-0.00037500000000000033,-0.00037500000000000033,0.011940896329750605,0.75,1.0,1.0,1.0,False
2021-12-31,2021-11-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.03864778567716913,0.03864778567716913,0.0,0.03864778567716913,0.03864778567716913,0.011867957451470216,0.0,0.0,0.026779828225698916,0.0,1.0,1.0,1.0,False
2022-01-31,2021-12-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.04821722393288779,-0.048109551553274885,0.00010767237961290582,-0.04821722393288779,-0.0613129805974495,-0.05600866827597609,0.0,0.013095756664561711,0.007791444343088295,0.21534475922581162,0.7846552407741884,1.0,0.7846552407741884,False
2022-02-28,2022-01-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.005609775245344578,-0.005308318146369295,0.0003014570989752822,-0.020605661931393543,-0.028222946678299776,-0.0032662319691959137,0.014995886686048964,0.022613171432955197,-0.0023435432761486643,0.6029141979505644,0.7269641712944956,0.25,0.1817410428236239,True
2022-03-31,2022-02-28,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.005751422578976732,0.00576715064750606,1.572806852932719e-05,0.021627009997916218,0.035776417208131274,0.011031310969034213,-0.015875587418939484,-0.03002499462915454,-0.005279888390057481,0.03145613705865438,0.601139623059878,0.25,0.1502849057649695,True
2022-04-29,2022-03-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.06297656737940145,-0.0627259700948155,0.00025059728458596295,-0.062751140020754,-0.09622387963195574,-0.06674416805259342,-0.00022542735864744534,0.033247312252554284,0.0037676006731919703,0.5011945691719258,0.6514794749368954,1.0,0.6514794749368954,False
2022-05-31,2022-04-29,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.000487324789843277,0.0004906322042462507,3.3074144029737082e-06,0.000487324789843277,0.0005800939975287407,-0.00955119192544047,0.0,-9.276920768546364e-05,0.010038516715283746,0.006614828805947416,0.644864646130948,1.0,0.644864646130948,False
2022-06-30,2022-05-31,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,-0.011059285983359979,-0.01080475533005642,0.0002545306533035575,-0.04560045090141038,-0.08450544797665417,-0.07922515209974176,0.0345411649180504,0.07344616199329419,0.06816586611638178,0.509061306607115,0.5432133580953316,0.25,0.1358033395238329,True
2022-07-29,2022-06-30,VCFC_option_a_vt_L21_C6_g0p25_mkt_vol,0.015300383080899788,0.015307746259164468,7.363178264681387e-06,0.06011983700877621,0.09965779047727749,0.08310879993855326,-0.044819453927876424,-0.0843574073963777,-0.06780841685765347,0.014726356529362775,0.6021187842127829,0.25,0.15052969605319572,True
