date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,left_tail_score,lt_median,skew,skew_estimator,left_tail_rule,sigma_hat,sigma_star,lookback,skew_lookback_months,g_min,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,n_panel_names_eligible,n_null_names,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2021-12-31,2022-01-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.975675539863015,0.5,0.4878377699315075,True,0.046385335726389115,0.0002656588922878445,0.7061188590801553,realized_amaya,cvar_5,0.1453223318460632,0.14178744457805992,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,198,2020-10-13,0.012162230068492492,6.081115034246246e-06,0.3414864389520552,0.09756755398630151,0.04878377699315076,0.5121622300684925
2022-01-31,2022-02-28,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.8268150702250646,0.5,0.4134075351125323,True,0.0613129805974495,0.0002656588922878445,-0.2359700727182373,realized_amaya,cvar_5,0.17648006075172704,0.14591637382376285,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,200,2020-10-13,0.07443023481897516,3.721511740948758e-05,0.2893852745787726,0.08268150702250647,0.041340753511253235,0.5865924648874676
2022-02-28,2022-03-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.7305403579269963,0.5,0.36527017896349817,True,0.0613129805974495,0.0002656588922878445,-0.41025933871954645,realized_amaya,cvar_5,0.20966317306027174,0.15316740949156069,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,202,2020-10-13,0.04813735614903415,2.4068678074517075e-05,0.2556891252744487,0.07305403579269963,0.036527017896349816,0.6347298210365018
2022-03-31,2022-04-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.6983104078643289,0.5,0.3491552039321644,True,0.0613129805974495,0.0002656588922878445,0.31452361754912866,realized_amaya,cvar_5,0.2288204269427964,0.159787685666114,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.016114975031333793,8.057487515666897e-06,0.2444086427525151,0.06983104078643289,0.034915520393216444,0.6508447960678356
2022-04-29,2022-05-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.6566488343786555,0.5,0.32832441718932776,True,0.09622387963195574,0.0002656588922878445,-0.9579432521648152,realized_amaya,cvar_5,0.2509686256635774,0.16479825550760124,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.02083078674283662,1.0415393371418309e-05,0.2298270920325294,0.06566488343786556,0.03283244171893278,0.6716755828106722
2022-05-31,2022-06-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.6373820301920776,0.5,0.3186910150960388,True,0.09622387963195574,0.02332549730933848,-0.42552864362854675,realized_amaya,cvar_5,0.2803333337589776,0.17867942940181045,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.009633402093288973,4.816701046644487e-06,0.22308371056722714,0.06373820301920777,0.031869101509603884,0.6813089849039612
2022-06-30,2022-07-29,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.6291072572791074,0.5,0.3145536286395537,True,0.09622387963195574,0.046385335726389115,-0.709805502182492,realized_amaya,cvar_5,0.2977448042630135,0.1873134171790091,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.004137386456485089,2.0686932282425447e-06,0.2201875400476876,0.06291072572791075,0.03145536286395537,0.6854463713604463
2022-07-29,2022-08-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.6358428984005169,0.5,0.31792144920025844,True,0.09036466380430495,0.046385335726389115,1.2551806162847297,realized_amaya,cvar_5,0.2959711242414029,0.18819113748051314,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.003367820560704733,1.6839102803523667e-06,0.2225450144401809,0.0635842898400517,0.03179214492002585,0.6820785507997416
2022-08-31,2022-09-30,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.7589396835199571,0.5,0.37946984175997855,True,0.09036466380430495,0.046385335726389115,-0.7470270367509021,realized_amaya,cvar_5,0.24932349604201218,0.189221495180214,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.0615483925597201,3.077419627986005e-05,0.26562888923198497,0.07589396835199572,0.03794698417599786,0.6205301582400214
2022-09-30,2022-10-31,SM_option_a_vt_L63_SL21_g0p5_realizedamaya_cvar5,option_a,option_a_vt,0.8522820456110514,0.5,0.4261410228055257,True,0.09581150968778707,0.046385335726389115,-1.2075992302058944,realized_amaya,cvar_5,0.2254868848467415,0.19217842347564443,63,21,0.5,0.25,1.0,BIL,prices,QQQM,339,204,2020-10-13,0.046671181045547135,2.3335590522773566e-05,0.298298715963868,0.08522820456110514,0.04261410228055257,0.5738589771944743
