date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,left_tail_score,lt_median,skew,skew_estimator,left_tail_rule,sigma_hat,sigma_star,lookback,skew_lookback_months,g_min,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,n_panel_names_eligible,n_null_names,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2022-06-30,2022-07-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.6021187842127829,0.25,0.15052969605319572,True,0.09622387963195574,0.046385335726389115,-0.709805502182492,realized_amaya,cvar_5,0.3110904726613119,0.1873134171790091,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,207,2020-10-13,0.014726356529362775,7.363178264681387e-06,0.105370787237237,0.030105939210639143,0.015052969605319572,0.8494703039468043
2022-07-29,2022-08-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.9271306030634122,0.25,0.23178265076585305,True,0.09036466380430495,0.046385335726389115,1.2551806162847297,realized_amaya,cvar_5,0.20298233804244467,0.18819113748051314,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,207,2020-10-13,0.08125295471265737,4.062647735632868e-05,0.16224785553609714,0.046356530153170615,0.023178265076585308,0.768217349234147
2022-08-31,2022-09-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.8783990860137462,0.25,0.21959977150343654,True,0.09036466380430495,0.046385335726389115,-0.7470270367509021,realized_amaya,cvar_5,0.21541631610629072,0.189221495180214,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,207,2020-10-13,0.012182879262416485,6.091439631208242e-06,0.15371984005240558,0.04391995430068731,0.021959977150343656,0.7804002284965634
2022-09-30,2022-10-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.7775521514215326,0.25,0.19438803785538314,True,0.09581150968778707,0.046385335726389115,-1.2075992302058944,realized_amaya,cvar_5,0.2471582428577954,0.19217842347564443,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,207,2020-10-13,0.025211733648053403,1.2605866824026702e-05,0.1360716264987682,0.03887760757107663,0.019438803785538316,0.8056119621446168
2022-10-31,2022-11-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.6901394869859467,0.25,0.17253487174648668,True,0.09581150968778707,0.046385335726389115,0.635417035156739,realized_amaya,cvar_5,0.2854178778290848,0.1969781477815822,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,214,2020-10-13,0.021853166108896448,1.0926583054448225e-05,0.12077441022254067,0.03450697434929734,0.01725348717464867,0.8274651282535133
2022-11-30,2022-12-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.6718848956318167,0.25,0.1679712239079542,True,0.09581150968778707,0.046385335726389115,1.569493343847315,realized_amaya,cvar_5,0.29833526766348056,0.20044696017736774,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,214,2020-10-13,0.004563647838532537,2.281823919266269e-06,0.11757985673556792,0.033594244781590836,0.016797122390795418,0.8320287760920458
2022-12-30,2023-01-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.046385335726389115,-0.631253593492083,realized_amaya,cvar_5,0.18701026165764675,0.20128244480993984,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,215,2020-10-13,0.08202877609204584,4.101438804602292e-05,0.175,0.05,0.025,0.75
2023-01-31,2023-02-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.053849158161919305,0.8441760253861695,realized_amaya,cvar_5,0.1709357426675394,0.2002682379480692,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,220,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-02-28,2023-03-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.0613129805974495,-0.17395538306629488,realized_amaya,cvar_5,0.1827970514762075,0.19967664982344924,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,220,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2023-03-31,2023-04-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.09581150968778707,0.0613129805974495,0.22662918907368487,realized_amaya,cvar_5,0.19149525462798955,0.19883410690141384,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,221,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
