date,eval_date,trial_id,core,f,sigma_hat,sigma_star,lookback,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2022-09-30,2022-10-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.8522820456110514,0.2254868848467415,0.19217842347564443,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.09334236209109427,4.667118104554713e-05,0.596597431927736,0.17045640912221027,0.08522820456110514,0.14771795438894864
2022-10-31,2022-11-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.7786486602970685,0.25297436164139997,0.1969781477815822,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.07363338531398288,3.681669265699144e-05,0.5450540622079479,0.1557297320594137,0.07786486602970685,0.22135133970293153
2022-11-30,2022-12-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.7166947414251084,0.2796824765014878,0.20044696017736774,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.06195391887196012,3.097695943598006e-05,0.5016863189975759,0.14333894828502167,0.07166947414251083,0.28330525857489164
2022-12-30,2023-01-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.7686149891103645,0.261876814350075,0.20128244480993984,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.05192024768525612,2.596012384262806e-05,0.5380304923772551,0.1537229978220729,0.07686149891103645,0.23138501088963548
2023-01-31,2023-02-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.8799357797433244,0.22759415238971992,0.2002682379480692,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.11132079063295985,5.566039531647993e-05,0.615955045820327,0.17598715594866488,0.08799357797433244,0.12006422025667562
2023-02-28,2023-03-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1925077925454677,0.19967664982344924,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.12006422025667564,6.003211012833782e-05,0.7,0.2,0.1,0.0
2023-03-31,2023-04-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.176872126699219,0.19883410690141384,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-04-28,2023-05-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.16723777937964143,0.19718924107995775,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-05-31,2023-06-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15242289043929194,0.19542987786135502,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-06-30,2023-07-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1282381374291954,0.19345203612306855,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-07-31,2023-08-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11599286456435613,0.19142548405932544,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-08-31,2023-09-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11542481040208327,0.18976976928284697,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-09-29,2023-10-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11661348381890518,0.18826342778297098,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-10-31,2023-11-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.13017651071828157,0.1871654015295978,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-11-30,2023-12-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.13725624232831313,0.1860431016993839,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2023-12-29,2024-01-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.13151473659834967,0.1845010804541926,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-01-31,2024-02-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11934582470309177,0.1829160018608861,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-02-29,2024-03-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11819378647244481,0.18213009031057614,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-03-28,2024-04-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11849139258832406,0.18072417968126522,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-04-30,2024-05-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1335379334709934,0.17967955356451548,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-05-31,2024-06-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11819944676616793,0.17835646761336132,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-06-28,2024-07-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11209148766548503,0.1768705043181808,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-07-31,2024-08-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11396413208626908,0.1761175388569944,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-08-30,2024-09-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15673583427571688,0.17695385025093308,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-09-30,2024-10-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.17294997032087306,0.1764565397478691,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-10-31,2024-11-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15377382847238613,0.17502365139610773,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-11-29,2024-12-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.13440962617057958,0.17466613328319175,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2024-12-31,2025-01-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.13556339284252872,0.17423307942256494,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-01-31,2025-02-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1494152644968183,0.17370349050160877,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-02-28,2025-03-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.14343647601555665,0.17308136009212374,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-03-31,2025-04-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1710309699783934,0.17415908910811978,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-04-30,2025-05-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.5764514746014427,0.3208018716539114,0.18492671196979998,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.42354852539855725,0.00021177426269927864,0.4035160322210099,0.11529029492028856,0.05764514746014428,0.42354852539855725
2025-05-30,2025-06-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.5619480266338224,0.3288866229847192,0.1848171887725249,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.014503447967620375,7.251723983810188e-06,0.39336361864367564,0.11238960532676448,0.05619480266338224,0.4380519733661776
2025-06-30,2025-07-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.5949586544001796,0.3088989372761583,0.18378209606746862,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.033010627766357215,1.6505313883178606e-05,0.4164710580801257,0.11899173088003592,0.05949586544001796,0.4050413455998204
2025-07-31,2025-08-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1253408414466411,0.182336592819198,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.4050413455998204,0.00020252067279991022,0.7,0.2,0.1,0.0
2025-08-29,2025-09-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.10412884335378121,0.1815190314351461,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-09-30,2025-10-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.09514880556659253,0.18027106270037735,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-10-31,2025-11-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11284970036657628,0.1796819632096378,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-11-28,2025-12-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1337267936911215,0.1794579826817608,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2025-12-31,2026-01-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.13752387665334379,0.17830809080846732,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-01-30,2026-02-27,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1241307189320233,0.17745202012087571,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-02-27,2026-03-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11344072689691284,0.1769901618047205,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-03-31,2026-04-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.14913535699778965,0.17677349997473585,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-04-30,2026-05-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15989655103752085,0.17665799103298735,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-05-29,2026-06-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15207143562063877,0.17597228076904195,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-06-30,2026-07-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15869144045934097,0.1761915674312559,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-07-31,2026-08-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15231571574043673,0.17565810199241308,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2026-08-31,2026-09-16,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1530566361337157,0.1749527984546251,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
