date,IC,n_names,decision_month_end,IC_mean_expanding
2016-11-30,0.3335621924974956,7,2016-11-30,0.00328966388598451
2016-12-30,-0.2964997266644405,7,2016-12-30,-0.0008170400941582986
2017-01-31,-0.5188745216627708,7,2017-01-31,-0.007817816872112521
2017-02-28,0.7041868508280462,7,2017-02-28,0.001675578697222928
2017-03-31,-0.22237479499833038,7,2017-03-31,-0.0012724525356132997
2017-04-28,0.7412493166611013,7,2017-04-28,0.008370687324084292
2017-05-31,-0.592999453328881,7,2017-05-31,0.0006608137259693525
2017-06-30,0.2594372608313854,7,2017-06-30,0.003936464955151834
2017-07-31,-0.14824986333222026,7,2017-07-31,0.002034135851559683
2017-08-31,-0.037062465833055065,7,2017-08-31,0.001551461756687896
2017-09-29,-0.555936987495826,7,2017-09-29,-0.005247177868342761
2017-10-31,-0.2964997266644405,7,2017-10-31,-0.008756244721307793
2017-11-30,0.555936987495826,7,2017-11-30,-0.002033706242532391
2017-12-29,0.3335621924974956,7,2017-12-29,0.001914480801467938
2018-01-31,-0.18531232916527532,7,2018-01-31,-0.00026257512837791396
2018-02-28,-0.2964997266644405,7,2018-02-28,-0.003667599858677484
2018-03-29,0.2594372608313854,7,2018-03-29,-0.0006777718962904061
2018-04-30,0.037062465833055065,7,2018-04-30,-0.0002537242813539402
2018-05-31,0.37062465833055064,7,2018-05-31,0.0038671466365561105
2018-06-29,0.11118739749916519,7,2018-06-29,0.005046490052628738
2018-07-31,-0.037062465833055065,7,2018-07-31,0.004588784010393044
2018-08-31,0.037062465833055065,7,2018-08-31,0.00493796338483027
2018-09-28,0.18531232916527532,7,2018-09-28,0.006856839616537132
2018-10-31,-0.18531232916527532,7,2018-10-31,0.004834006260939106
2018-11-30,0.4076871241636057,7,2018-11-30,0.009030392905758551
2018-12-31,-0.37062465833055064,7,2018-12-31,0.005116423305384229
2019-01-31,-0.037062465833055065,7,2019-01-31,0.0046860264774409716
2019-02-28,-0.18531232916527532,7,2019-02-28,0.0027668511679185843
2019-03-29,0.8153742483272114,7,2019-03-29,0.010892925139511513
2019-04-30,-0.2964997266644405,7,2019-04-30,0.007849433537492184
2019-05-31,-0.11118739749916519,7,2019-05-31,0.006682405782230838
2019-06-28,0.592999453328881,7,2019-06-28,0.012374804302101229
2019-07-31,0.2594372608313854,7,2019-07-31,0.01475040484565204
2019-08-30,0.4076871241636057,7,2019-08-30,0.018492659315346834
2019-09-30,-0.3335621924974956,7,2019-09-30,0.015171387128433226
2019-10-31,-0.07412493166611013,7,2019-10-31,0.014336842092970203
2019-11-29,0.44474958999666075,7,2019-11-29,0.018322145314300674
2019-12-31,0.37062465833055064,7,2019-12-31,0.021554278461238745
2020-01-31,-0.037062465833055065,7,2020-01-31,0.021021398967654256
2020-02-28,0.2594372608313854,7,2020-02-28,0.023169289615075257
2020-03-31,0.037062465833055065,7,2020-03-31,0.02329333583130722
2020-04-30,0.2594372608313854,7,2020-04-30,0.025383105079095525
2020-05-29,-0.2594372608313854,7,2020-05-29,0.02288468081672288
2020-06-30,0.3335621924974956,7,2020-06-30,0.025586224396555692
2020-07-31,0.07412493166611013,7,2020-07-31,0.02600466152818978
2020-08-31,0.14824986333222026,7,2020-08-31,0.027049492312839613
2020-09-30,-0.3335621924974956,7,2020-09-30,0.023993461085633383
2020-10-30,-0.13173888881045848,8,2020-10-30,0.022684785876422527
2020-11-30,0.3233590907165799,8,2020-11-30,0.02519040508342384
2020-12-31,-0.2515015150017844,8,2020-12-31,0.02290369500007501
2021-01-29,0.2515015150017844,8,2021-01-29,0.024777447623039843
2021-02-26,-0.17964393928698885,8,2021-02-26,0.023115485127836354
2021-03-31,-0.17964393928698885,8,2021-03-31,0.0214803284793297
2021-04-30,0.29940656547831473,8,2021-04-30,0.02370373837532158
2021-05-28,0.34731161595484505,8,2021-05-28,0.026272054864047958
2021-06-30,0.27545404024004955,8,2021-06-30,0.02823411774102435
2021-07-30,-0.17964393928698885,8,2021-07-30,0.026610070420492994
2021-08-31,0.4311454542887732,8,2021-08-31,0.029746003628774234
2021-09-30,0.5868368683374969,8,2021-09-30,0.03403131797268749
2021-10-29,0.7470421737034137,8,2021-10-29,0.03947414893246403
2021-11-30,0.2155727271443866,8,2021-11-30,0.04080822907043313
2021-12-31,0.34731161595484505,8,2021-12-31,0.04311276581392495
2022-01-31,0.2395252523826518,8,2022-01-31,0.04457853063906471
2022-02-28,-0.08383383833392813,8,2022-02-28,0.04362732790593142
2022-03-31,0.34731161595484505,8,2022-03-31,0.045860300612173444
2022-04-29,0.38324040381224284,8,2022-04-29,0.048322929102684896
2022-05-31,-0.670670706671425,8,2022-05-31,0.043112830292727576
2022-06-30,0.29940656547831473,8,2022-06-30,0.04495667011420662
2022-07-29,-0.6467181814331598,8,2022-07-29,0.04001613546029686
2022-08-31,-0.6946232319096901,8,2022-08-31,0.0348059271810771
2022-09-30,0.17964393928698885,8,2022-09-30,0.035825913181822946
2022-10-31,0.6586944440522925,8,2022-10-31,0.04018163717392413
2022-11-30,-0.3952166664313755,8,2022-11-30,0.03715803784333178
2022-12-30,0.19162020190612142,8,2022-12-30,0.03822329414721309
2023-01-31,0.3952166664313755,8,2023-01-31,0.04066845423135118
2023-02-28,-0.3233590907165799,8,2023-02-28,0.03819207637456254
2023-03-31,-0.5389318178609664,8,2023-03-31,0.03429259060270085
2023-04-28,0.15569141404872364,8,2023-04-28,0.03510734780703658
2023-05-31,-0.6107893935757621,8,2023-05-31,0.030801369531151254
2023-06-30,0.2155727271443866,8,2023-06-30,0.03202502090607334
2023-07-31,-0.17964393928698885,8,2023-07-31,0.030632461957434777
2023-08-31,0.14371515142959107,8,2023-08-31,0.03137156450300443
2023-09-29,-0.13173888881045848,8,2023-09-29,0.030312405715254665
2023-10-31,0.03592878785739777,8,2023-10-31,0.030348640438752367
2023-11-30,-0.05988131309566295,8,2023-11-30,0.029770243300711242
2023-12-29,-0.15569141404872364,8,2023-12-29,0.02858895885899509
2024-01-31,-0.13173888881045848,8,2024-01-31,0.027574225645897284
2024-02-29,0.38324040381224284,8,2024-02-29,0.029811119848201346
2024-03-28,-0.6107893935757621,8,2024-03-28,0.025807366639301575
2024-04-30,0.2395252523826518,8,2024-04-30,0.02713480692342176
2024-05-31,-0.29940656547831473,8,2024-05-31,0.02511911943946043
2024-06-28,-0.15569141404872364,8,2024-06-28,0.0240098523628458
2024-07-31,0.22754898976351917,8,2024-07-31,0.02525094466406942
2024-08-30,-0.03592878785739777,8,2024-08-30,0.024880158406363553
2024-09-30,0.19162020190612142,8,2024-09-30,0.02588461649973559
2024-10-31,-0.2515015150017844,8,2024-10-31,0.02422362170032529
2024-11-29,-0.22754898976351917,8,2024-11-29,0.022724975203516695
2024-12-31,0.203596464525254,8,2024-12-31,0.023795220702461886
2025-01-31,0.03592878785739777,8,2025-01-31,0.023866594626902687
2025-02-28,-0.1077863635721933,8,2025-02-28,0.023096694286557095
2025-03-31,-0.13173888881045848,8,2025-03-31,0.022196487408086073
2025-04-30,-0.5868368683374969,8,2025-04-30,0.018676063386435304
2025-05-30,-0.011976262619132589,8,2025-05-30,0.018499900593299857
2025-06-30,0.011976262619132589,8,2025-06-30,0.018462622662018903
2025-07-31,0.2515015150017844,8,2025-07-31,0.01978670727758575
2025-08-29,0.011976262619132589,8,2025-08-29,0.01974258047160579
2025-09-30,0.16766767666785626,8,2025-09-30,0.02057362033787686
2025-10-31,-0.3952166664313755,8,2025-10-31,0.018250769573802825
2025-11-28,0.023952525238265177,8,2025-11-28,0.01828244599416095
2025-12-31,-0.22754898976351917,8,2025-12-31,0.016924261266217964
2026-01-30,-0.1197626261913259,8,2026-01-30,0.016173234412055634
2026-02-27,-0.5149792926227014,8,2026-02-27,0.013270761586729095
2026-03-31,0.28743030285918214,8,2026-03-31,0.014760759093644599
2026-04-30,0.5389318178609664,8,2026-04-30,0.017594116168062553
2026-05-29,-0.3353353533357125,8,2026-05-29,0.015696645901913227
2026-06-30,0.08383383833392813,8,2026-06-30,0.016061015914918656
2026-07-31,0.6107893935757621,8,2026-07-31,0.01922446473226357
2026-08-31,-0.5389318178609664,8,2026-08-31,0.01627125688785494
