period,period_role,window_weeks,strategy_id,n_months,start,end,AnnReturn,AnnVol,Sharpe_exBIL,Sharpe_rf0_legacy,MaxDD,turnover_per_year,HHI_mean,eff_N_mean,names_held_mean,eff_N_category_mean,largest_category,largest_category_share,low_vol_share_mean,usmv_share_mean,efav_share_mean,gswo_share_mean,top_holdings_avg,p_one_sided_hac,p_one_sided_boot,delta_log_var,p_gate,lw2008_p_vs_primary,NW_t_vs_primary,DSR_exBIL_repo,DSR_exBIL_rf0_legacy,role,trial_count,avg_N_eligible,min_N_eligible,max_N_eligible,DSR_exBIL,sr_var_cross_trial_monthly
full 2016-01..2026-09,full window,260,minvar_lw_weekly,128,2016-02-29,2026-09-16,0.08830965549863623,0.10748924107995964,0.6452949759700566,0.821567392339704,-0.23065193258839423,0.5340449019042743,0.41124723852012796,2.55855936711468,4.8359375,1.9017535426934427,International Developed Equity,0.5632200682352901,0.6712028412374227,0.2115213541831864,0.45968148705423645,0.0,EFAV 45.97%; USMV 21.15%; ASHS 8.01%; DVY 6.84%; HEFA 6.02%,,,,,,,0.8286710087939873,0.9360426247348187,primary_null,8,78.65891472868218,64,91,0.42763675374228943,0.019488181072359705
full 2016-01..2026-09,full window,260,nonlinear_shrinkage_gmv,128,2016-02-29,2026-09-16,0.08447155633777093,0.1077242103854763,0.6115398362811979,0.7841464424338879,-0.24622095728387317,0.4823227575317407,0.5272200230138443,2.079152975995212,3.625,1.7433752377331193,International Developed Equity,0.6012086727021864,0.7513141126593551,0.21311566757672692,0.5381984450826282,0.0,EFAV 53.82%; USMV 21.31%; ASHS 7.67%; DVY 6.56%; DXJ 4.46%,0.5714942606181996,0.5220955808838232,0.004367187966727748,0.5714942606181996,0.17247676659268052,-1.3020692179867914,0.7992973817650872,0.9193389153869214,method,8,78.65891472868218,64,91,0.3874850563805418,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),156,buy_hold_acwi,68,2021-02-26,2026-09-16,0.12145848906126311,0.14274329471891584,0.6613647242861027,0.8508875271544917,-0.2573842451889745,0.0,1.0,1.0,1.0,1.0,Global Equity (incl US),1.0,0.0,0.0,0.0,0.0,ACWI 100.00%,0.9999945184749512,0.9984003199360127,0.6273038328558904,0.9999945184749512,0.29801262092943503,1.820804920866101,0.6599748508966661,0.8051659452377484,reference,8,88.77941176470588,83,94,0.46003533738904606,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),156,buy_hold_usmv,68,2021-02-26,2026-09-16,0.09063394164083505,0.12059523633282115,0.522003173819617,0.7515549071167428,-0.17351804787143488,0.0,1.0,1.0,1.0,1.0,Sector / Factor / Thematic,1.0,1.0,1.0,0.0,0.0,USMV 100.00%,0.9761412679059456,0.9166166766646671,0.29008764995377856,0.9761412679059456,0.6081163359700965,0.7637843851660399,0.533112395820792,0.7341803568956551,reference (book-eligibility comparison),8,88.77941176470588,83,94,0.33536660545538133,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),156,equal_weight,68,2021-02-26,2026-09-16,0.11076119611904933,0.1468491801955312,0.5795666806613388,0.7542513752652188,-0.24235134254928936,0.025570212644803986,0.011283341003374319,88.77941176470588,88.77941176470588,6.151937149683867,Specialty / Other,0.28102301547596226,0.025399597274255184,0.011283341003374319,0.011283341003374319,0.002832915267506543,ACWI 1.13%; ACWX 1.13%; ASHS 1.13%; BBC 1.13%; DVY 1.13%,0.9999973183189409,0.999000199960008,0.6840202324463203,0.9999973183189409,0.5257146764971647,1.3311309430333433,0.5867190881810717,0.7362664017422567,null,8,88.77941176470588,83,94,0.3858365630467349,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),156,erc_weekly,68,2021-02-26,2026-09-16,0.10897884215215492,0.1414738029248112,0.5849314494913157,0.770311109895545,-0.24069421795235213,0.06942046699942919,0.01183810774530775,84.5891675651795,88.77941176470588,5.721867676355021,Specialty / Other,0.285105725410717,0.03626420035663329,0.01518255734079937,0.017369987300148697,0.0037116557156852176,ASHS 2.30%; EFAV 1.74%; INDA 1.71%; DXJ 1.61%; USMV 1.52%,0.9999933642050767,0.9984003199360127,0.6094372055886152,0.9999933642050767,0.4772349094702064,1.3963836879636125,0.5916493258571787,0.7485152460449421,null,8,88.77941176470588,83,94,0.3910378740992663,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),156,minvar_lw_weekly,68,2021-02-26,2026-09-16,0.06818993253561945,0.10431299625602383,0.3888333374621459,0.6537050509819061,-0.22248242971653376,0.545729630898669,0.27797948232554576,3.693020078702624,4.852941176470588,2.371010011822005,International Developed Equity,0.5030460778096923,0.5137286152390241,0.18955864679552692,0.3241699684434971,1.1032021773647627e-17,EFAV 32.42%; USMV 18.96%; ASHS 15.55%; INDA 12.13%; DXJ 11.21%,,,,,,,0.40843520943370054,0.6533185175470302,primary_null,8,88.77941176470588,83,94,0.23150922283188802,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),156,nonlinear_shrinkage_gmv,68,2021-02-26,2026-09-16,0.06688593610451421,0.10579195372838554,0.3732086170828727,0.6322402956678521,-0.23095302115908078,0.5763906917650665,0.3649180369475265,3.166546930200414,4.161764705882353,2.293502874841137,International Developed Equity,0.5323883925112904,0.6004552885103152,0.19136526040409632,0.4090900281062188,1.6981157585143528e-17,EFAV 40.91%; USMV 19.14%; ASHS 15.35%; DXJ 11.75%; INDA 11.54%,0.929320222660209,0.8944211157768446,0.028157012014656146,0.929320222660209,0.6221550510499673,-0.3246885071961382,0.3941603840394326,0.6344174697563291,method,8,88.77941176470588,83,94,0.22060768510066225,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),260,buy_hold_acwi,68,2021-02-26,2026-09-16,0.12145848906126311,0.14274329471891584,0.6613647242861027,0.8508875271544917,-0.2573842451889745,0.0,1.0,1.0,1.0,1.0,Global Equity (incl US),1.0,0.0,0.0,0.0,0.0,ACWI 100.00%,0.9999991483138124,0.9996000799840032,0.5917568552800203,0.9999991483138124,0.2782554688135336,1.8739628055930708,0.6599748508966661,0.8051659452377484,reference,8,84.76470588235294,80,91,0.46003533738904606,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),260,buy_hold_usmv,68,2021-02-26,2026-09-16,0.09063394164083505,0.12059523633282115,0.522003173819617,0.7515549071167428,-0.17351804787143488,0.0,1.0,1.0,1.0,1.0,Sector / Factor / Thematic,1.0,1.0,1.0,0.0,0.0,USMV 100.00%,0.9674826615095318,0.9140171965606879,0.25454067237790845,0.9674826615095318,0.5656749042532558,0.7513722097000031,0.533112395820792,0.7341803568956551,reference (book-eligibility comparison),8,84.76470588235294,80,91,0.33536660545538133,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),260,equal_weight,68,2021-02-26,2026-09-16,0.11134549556410045,0.14674475388204378,0.5834497374877248,0.75876985458439,-0.2388531667515722,0.02451859930078132,0.011814039861198061,84.76470588235294,84.76470588235294,6.207684150784017,Specialty / Other,0.2709216865233202,0.023628079722396125,0.011814039861198064,0.011814039861198064,0.0,ACWI 1.18%; ACWX 1.18%; ASHS 1.18%; BBC 1.18%; DGRO 1.18%,0.9999995196049769,1.0,0.6470505235974873,1.0,0.5096612740638529,1.3869108242657868,0.5902890423435182,0.7397431775113381,null,8,84.76470588235294,80,91,0.38917475399611673,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),260,erc_weekly,68,2021-02-26,2026-09-16,0.11050383445211609,0.14184820088335467,0.5935002840309138,0.7790288051872167,-0.23790953597523767,0.04992623215148749,0.01228745377412984,81.47145049055617,84.76470588235294,5.754334818269772,Specialty / Other,0.2730078289202434,0.03304914738462674,0.015050062564024747,0.01799908482060199,0.0,ASHS 2.28%; EFAV 1.80%; DXJ 1.62%; INDA 1.61%; HEFA 1.59%,0.999998958434247,1.0,0.5791760606899414,1.0,0.45081533001680774,1.4774705428410122,0.5994937976608157,0.7550361649962456,null,8,84.76470588235294,80,91,0.39856639988467674,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),260,minvar_lw_weekly,68,2021-02-26,2026-09-16,0.06761440202031244,0.10618357624940948,0.3782277429122299,0.6367689280072488,-0.23065193258839423,0.36351645858221543,0.3525498906138836,2.9391604794050363,5.338235294117647,1.868957107311576,International Developed Equity,0.6860144421710569,0.5925882718876689,0.08862968298848546,0.5039585888991835,0.0,EFAV 50.40%; ASHS 14.32%; HEFA 10.11%; USMV 8.86%; DXJ 8.05%,,,,,,,0.39873139951673253,0.6384343091935777,primary_null,8,84.76470588235294,80,91,0.22417996377238697,0.019488181072359705
book2 2021-02..2026-09,sub-period (not a trial),260,nonlinear_shrinkage_gmv,68,2021-02-26,2026-09-16,0.06370181762451255,0.10936839863689332,0.3363372355098952,0.5824517723442644,-0.24622095728387305,0.3341905629620508,0.47362715651984194,2.339066435314303,4.0588235294117645,1.7566911200029585,International Developed Equity,0.7277764979639721,0.694070213760719,0.08119177026514864,0.6128784434955703,0.0,EFAV 61.29%; ASHS 13.84%; DXJ 8.38%; USMV 8.12%; INDA 5.26%,0.9999276811278665,0.9992001599680064,0.059105079880691136,0.9999276811278665,0.1686455007631471,-0.9551030132431512,0.3610642675632634,0.5893722479637266,method,8,84.76470588235294,80,91,0.19574083962334693,0.019488181072359705
